household,person,age,maritalStatus,income,female,hispanic,race,edu
37,1,20,Never married,10000,1,0,White,Some College
37,2,19,Never married,5300,1,0,White,Some College
37,3,19,Never married,4700,1,0,Black,Some College
241,1,50,Never married,32500,1,0,White,Advanced Degree
242,1,29,Never married,30000,1,0,White,Bachelors
377,1,69,Never married,51900,1,0,White,Less than High School
418,1,59,Widowed,12200,1,0,White,Less than High School
465,1,55,Separated,0,0,0,Black,Some College
465,2,47,Never married,2600,1,0,Black,Less than High School
484,1,33,Now married,16800,0,0,Asian,High School
484,2,26,Now married,18000,1,0,Asian,Less than High School
484,3,4,,,0,0,Asian,Less than High School
484,4,2,,,1,0,Asian,
607,1,39,Now married,16100,0,0,Asian,Less than High School
607,2,36,Now married,17200,1,0,Asian,Less than High School
607,3,17,Never married,0,1,0,Asian,Less than High School
607,4,15,Never married,0,0,0,Asian,Less than High School
607,5,13,,,1,0,Asian,Less than High School
728,1,23,Never married,7600,0,0,Black,Bachelors
728,2,23,Never married,12000,1,0,Asian,Some College
874,1,38,Divorced,19800,1,0,White,Less than High School
874,2,14,,,0,0,White,Less than High School
894,1,72,Now married,22500,0,0,White,High School
894,2,69,Now married,11300,1,0,White,Advanced Degree
930,1,47,Divorced,23010,1,0,White,High School
930,2,36,Never married,6800,1,0,White,High School
930,3,46,Now married,6400,1,0,White,High School
930,4,48,Never married,13000,1,0,White,Less than High School
963,1,72,Widowed,26000,0,0,White,Less than High School
1014,1,52,Now married,97000,0,0,White,Advanced Degree
1014,2,54,Now married,23750,1,0,White,Advanced Degree
1016,1,54,Widowed,25000,1,0,White,Some College
1024,1,45,Never married,52600,1,0,White,Bachelors
1485,1,66,Now married,12600,0,0,White,Some College
1485,2,62,Now married,28500,1,0,White,High School
1509,1,67,Widowed,8000,0,0,White,Advanced Degree
1839,1,46,Divorced,50000,1,0,White,Some College
1839,2,20,Never married,5900,0,0,White,Some College
1839,3,15,Never married,0,0,0,White,Less than High School
1839,4,10,,,0,0,White,Less than High School
1839,5,4,,,1,0,White,Less than High School
1839,6,4,,,1,0,White,Less than High School
1897,1,59,Now married,20060,1,0,White,High School
1897,2,61,Now married,27800,0,0,White,Some College
2043,1,38,Now married,30900,0,0,White,Bachelors
